amount,quantity,price,stock,age,income,purchased,days_since_signup,days_since_last_purchase,purchase_month,purchase_weekday,gender_encoded,payment_mode_encoded,city_Bangalore,city_Bhopal,city_Chandigarh,city_Chennai,city_Delhi,city_Hyderabad,city_Indore,city_Jaipur,city_Kolkata,city_Lucknow,city_Mumbai,city_Nagpur,city_Pune,city_Surat,category_Computer,category_Electronics,category_Mobile Accessories,category_Wearable,product_name_encoded,income_bin,total_purchases,purchase_per_day,avg_spend_per_purchase,recency_score,income_quantile_bin,frequent_buyer
1299.0,3.0,1299.0,25.0,27.0,42207.0,1,1816,198,3,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0,1,0.7149146945514584,1299.0,0.005025125628140704,0,0
2599.0,2.0,2599.0,20.0,45.0,189316.0,1,1839,24,9,6,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3,1,1.4125,2599.0,0.04,3,0
899.0,2.0,899.0,60.0,62.0,103588.0,1,1994,216,3,3,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1,3,0.4506265664160401,299.6666666666667,0.004608294930875576,1,1
631.0,2.0,699.0,40.0,52.0,43284.0,1,1277,151,5,5,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0.4937402190923318,210.33333333333334,0.006578947368421052,0,1
1999.0,3.0,1999.0,30.0,50.0,41621.0,1,1412,154,5,2,1,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,3,1.4147204529370134,666.3333333333334,0.0064516129032258064,0,1
2599.0,2.0,2599.0,20.0,41.77920202911176,188553.0,1,1169,227,3,6,0,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3,2,2.2213675213675215,1299.5,0.0043859649122807015,3,0
699.0,3.0,699.0,40.0,47.0,50447.0,1,1940,128,6,0,0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.3601236476043277,699.0,0.007751937984496124,0,0
2599.0,3.0,2599.0,20.0,41.823295809617136,193672.0,1,1872,99,7,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3,2,1.3876134543513081,1299.5,0.01,3,0
699.0,2.0,699.0,40.0,51.0,87695.0,1,1536,209,3,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0.4547820429407938,233.0,0.004761904761904762,1,1
1999.0,2.0,1999.0,30.0,45.0,106795.0,1,1850,6,10,3,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1,3,1.0799567801188548,666.3333333333334,0.14285714285714285,1,1
